target_name,target_type,mse,mae,r2,pearson_r
gene__POTEE,gene,0.05894094731994687,0.15757572609003118,0.5491402047896955,0.7459314108405541
gene__H2AC20,gene,4.0814771857740615,1.508239582214691,0.5933191863853335,0.786712149284868
gene__TCEAL4,gene,0.515261434934644,0.49396925793169805,0.5169574128815966,0.7397317936146395
gene__H2AC18,gene,0.8278797748463428,0.6200372503174362,0.5587022077433796,0.770130446777421
gene__H2BC11,gene,2.4874595720180928,1.1701295953453876,0.6125282998329349,0.8065264010501388
gene__IGIP,gene,0.5561135696736214,0.5348150078527985,0.6043297235956886,0.8015824059780937
gene__H3C2,gene,5.624647964431084,1.688718237830244,0.6010925915746148,0.8006733323628351
gene__H1-3,gene,4.389330942387854,1.478424392888971,0.5879432296103354,0.7891056559779458
gene__H1-4,gene,5.749249372123574,1.7612469939534106,0.5694141489056315,0.774409091969041
gene__H3C10,gene,2.7756739714480747,1.2582924159372597,0.58349575224604,0.7841920184580247
gene__H2BC12,gene,1.5285218389785993,0.9387813989404511,0.6088855007426021,0.7938435575161518
gene__H4C3,gene,6.076243075879696,1.784633506663772,0.5722213105303573,0.7777588053976482
gene__H3C3,gene,4.693582051274707,1.5548066682561765,0.5838837855943304,0.7815612211135777
gene__H2BC9,gene,2.1471509925493772,1.03416991103414,0.5976886948216,0.7893731334421943
gene__H3C11,gene,3.306962039609787,1.2834963548574934,0.5727593418367836,0.7776418093953068
gene__H4C5,gene,3.994073531454805,1.491559945313022,0.5604173565538879,0.7667276941124942
gene__H1-5,gene,5.820485398212933,1.7093570004913587,0.5809933377798988,0.7842472066661395
gene__H2BC17,gene,4.056812948662499,1.4340333831629501,0.5767521748066987,0.7829429426164224
gene__H3C7,gene,5.309708359720204,1.637495274599268,0.5861664499097935,0.7861545230425028
gene__H2AC8,gene,3.2162586447657713,1.3530492262970222,0.5903594670385786,0.7871353993911244
gene__H4C4,gene,5.222828495339437,1.649272795437138,0.5910829695397325,0.7886251021302363
gene__H2AC12,gene,4.257928669738346,1.465663239844554,0.5748786890717704,0.7790777384446324
gene__H4C2,gene,4.5917373662811025,1.5368212809745019,0.5769238178119622,0.7808632446315509
gene__H2AC11,gene,2.549958911374526,1.1812830827283296,0.5719261391850979,0.7807705647582508
gene__H4C11,gene,1.9215128360419802,1.0432812494716244,0.5748782893755271,0.776237027160828
gene__H2AC19,gene,0.6347765339002579,0.5475186144176344,0.5927208366390329,0.7873366873925562
gene__H4C1,gene,4.103438010245762,1.431259465733921,0.5746685622192015,0.781658477990473
gene__H2BC4,gene,3.251844047342986,1.3585963967904444,0.5738569670508998,0.7740423557352262
gene__H2AC4,gene,3.6488734642024974,1.36074628776107,0.5721649952682366,0.779699657250696
gene__H2AC13,gene,3.9696031016887336,1.4149357136913145,0.5635924629890392,0.7779184621845248
gene__ALDH2,gene,0.7637362084351769,0.6430255216109102,0.6056449598172129,0.7969832512905755
gene__HDAC11,gene,0.6210090668004373,0.6234991377281257,0.43208067333017064,0.6661033106250625
gene__ETNPPL,gene,3.315410542379485,1.3743748040461488,0.49742304532687953,0.7228215719031476
gene__SCD,gene,1.0036899193478894,0.7840178400807379,0.5351488469320402,0.7360506403028446
gene__LHPP,gene,1.0241765505302673,0.7614593096664508,0.4754676776551058,0.694529495406129
gene__SLC25A48,gene,1.322116144448984,0.9199409316135291,0.5151936539519373,0.7221108263316716
gene__SLC22A6,gene,1.151713747885976,0.8454345943645519,0.4818174305380697,0.6944710526733837
gene__PAQR6,gene,1.190785599314246,0.8372694825534569,0.4663694713236809,0.6926904685822297
gene__HPSE2,gene,1.8989064780153113,1.0977885312357387,0.597071658034753,0.7818347688009791
gene__SLCO1A2,gene,1.3314494200740823,0.891205399474485,0.4929365060202461,0.7062408694765793
gene__FBXO2,gene,2.186110383276279,1.1741275625030725,0.34776316940482677,0.5977537154611839
gene__GABRG1,gene,1.8649334448244888,1.0992824124062845,0.5141516988486984,0.7201216364501872
gene__MTURN,gene,1.2807671903723523,0.833497750741166,0.4752197123465357,0.6982779057152662
gene__GJC1,gene,0.6578696523125455,0.6590495759806988,0.4882465993470888,0.6991860587445147
gene__COL4A1,gene,2.117816532032414,1.1364679358689345,0.5154312460497992,0.7243720394237269
gene__NTSR2,gene,3.360457123145982,1.4766961340494968,0.3366483981853656,0.5996574785287253
gene__PLEKHB1,gene,1.1776813042553718,0.8413735751911771,0.474313299197618,0.7059457899710276
gene__CHST1,gene,1.3102235168248444,0.9105418231642444,0.4250909928529141,0.6592112063704688
gene__PTGDS,gene,1.960990016423456,1.0922316670113172,0.31276456467720326,0.5654072376385204
gene__DAAM2,gene,1.786750075484305,1.0502253676155553,0.4877243130423824,0.7094199546111257
gene__CD93,gene,1.2684374806411332,0.8998101674664688,0.45623779511672846,0.6800987138593448
gene__AURKA,gene,0.7731364194568424,0.6881788460924942,0.4328684630341474,0.6597156764414327
gene__CDCA2,gene,0.8331574917053209,0.6903100777075709,0.46940257000269014,0.686392723596709
gene__CCNB1,gene,0.9300746845750175,0.7413060079723981,0.4904164640864198,0.7008157852615362
gene__PRR18,gene,1.7062741743082903,1.0514330597028554,0.31168707251658256,0.5666468753698961
gene__MAP7,gene,1.0582620253524506,0.8379608365461971,0.31443134560674246,0.5707893832698813
gene__GPRC5B,gene,0.6743324944386334,0.628877234007464,0.4949031130273073,0.7206244558810606
gene__KIF6,gene,0.7530632076112864,0.6823737911402877,0.3204797992458578,0.5785627806470278
gene__HSPG2,gene,1.265919105930698,0.8751164507188468,0.4788469841276898,0.6976492320632673
gene__CYP46A1,gene,0.8175214320658705,0.7212661965761781,0.38023475812537355,0.6268648401539334
gene__PPP1R1A,gene,1.6570451609890684,1.0321687664433512,0.47898561811493745,0.6976972701993229
gene__PARPBP,gene,0.31758500662095923,0.43156387246004013,0.4018907804396845,0.6347546432909523
gene__EFHD1,gene,1.826818081896021,1.0023197982067882,0.4405637028421836,0.6733537384132713
gene__CBX7,gene,0.7787352841670121,0.6790007202348078,0.5004441188213745,0.7207677014345362
gene__NOX4,gene,0.47283888020451736,0.5270193198894843,0.4617494687454029,0.6892096383861736
gene__NRG3,gene,0.932185071342945,0.7623143550267979,0.5707597904291014,0.7604840450650778
gene__KIF20A,gene,1.2783260526803375,0.8937909738827735,0.47974129966938084,0.6936030279658558
gene__SEPTIN4,gene,1.4008415840044837,0.9559331104626544,0.2501680670676726,0.5189097123416412
gene__PMM2,gene,0.23961172055733512,0.3642890601023015,0.44999114206729873,0.6750716073898497
gene__COL4A2,gene,1.7255235103798063,1.0142225438058075,0.47522755683171236,0.6965734646191274
gene__ZNF124,gene,0.6428108739475216,0.6090156601179036,0.4654455445864015,0.6962657209635663
gene__FAM171A1,gene,0.7291482537678223,0.6068872711746077,0.5955870689786992,0.7908125706582751
gene__RASL10A,gene,1.4586454870751109,0.9470211646512002,0.5711434367889588,0.763075540613647
gene__ADARB2,gene,1.3708561114853706,0.9349461193509142,0.44997114321090304,0.6761450233059003
gene__CNTNAP4,gene,1.1474642400223867,0.8911328204830407,0.26739432075347114,0.5240944496274396
gene__STUM,gene,1.2894512588506213,0.9172550154126318,0.4580074511899127,0.6821420663610784
gene__ANGPT2,gene,1.362828202296745,0.9230778875100208,0.3815337688437719,0.622724742375443
gene__ALDOC,gene,1.519530967813042,0.9213428971582491,0.4710532969049015,0.7056118601611566
program__GBM_high_protein_coding,program,0.18271247609537833,0.33451875937833475,0.6779647230790046,0.827540528182506
program__LGG_high_protein_coding,program,0.26764298448264723,0.3567653841196406,0.6472870435576307,0.8271347705468396
program__Morphology_linked_protein_coding,program,0.06285188330876545,0.17499046473657998,0.1999176817420638,0.4544017579340329
pathway__GBM_high_protein_coding__Systemic_lupus_erythematosus,pathway,0.3526341398827538,0.42961845286328904,0.6089957668862848,0.801652390435093
pathway__GBM_high_protein_coding__Neutrophil_extracellular_trap_formation,pathway,0.3305028301801519,0.41841371324642107,0.6215876907258908,0.8088918323339007
pathway__GBM_high_protein_coding__Alcoholism,pathway,0.3558854622912457,0.4318335292065523,0.6070086451397303,0.8002464400821744
pathway__Morphology_linked_protein_codi__Systemic_lupus_erythematosus,pathway,0.38422547826034675,0.4441593919183121,0.6019934758050411,0.7974801006516237
pathway__Morphology_linked_protein_codi__Alcoholism,pathway,0.27062214299157894,0.3693140106014794,0.5765614606371534,0.7798249458647952
pathway__Morphology_linked_protein_codi__Neutrophil_extracellular_trap_formation,pathway,0.3259353394796563,0.4081533665973715,0.604278798730218,0.7984550693961892
pathway__GBM_high_protein_coding__Cell_Cycle_Mitotic_R_HSA_69278,pathway,0.3223927530543718,0.4524888892700205,0.5606213548766681,0.752630442494663
pathway__GBM_high_protein_coding__RHO_GTPase_Effectors_R_HSA_195258,pathway,0.2666365503055827,0.40561115672142534,0.6183284269668328,0.7937620339195357
